# 
#
data2.txt
Categorization
Numerical,Numerical,Label
x,y,Label
-0.878755,0.486313,?,(Learn)
-0.221894,-0.109937,?,(Learn)
-1.005302,-1.402324,?,(Learn)
-0.141265,1.894775,?,(Learn)
-1.061511,-1.284591,?,(Learn)
-0.050012,0.873012,?,(Learn)
1.930924,0.858987,?,(Learn)
-1.054672,-0.307783,?,(Learn)
-0.608595,-0.65424,?,(Learn)
-0.230374,-2.316965,?,(Learn)
-3.139799,0.328178,?,(Learn)
-0.62037,-0.063001,?,(Learn)
-0.053362,0.526309,?,(Learn)
-0.024187,1.141621,?,(Learn)
0.985362,0.028153,?,(Learn)
-0.71602,-2.08768,?,(Learn)
-0.710607,-1.870179,?,(Learn)
-2.678703,1.272853,?,(Learn)
-0.307124,-0.788622,?,(Learn)
-0.26877,-0.102693,?,(Learn)
0.304563,-0.096073,?,(Learn)
1.02741,2.02345,?,(Learn)
0.575676,1.230829,?,(Learn)
-0.96997,-0.831528,?,(Learn)
-0.052362,-0.096643,?,(Learn)
-0.201733,0.209381,?,(Learn)
0.597801,1.196049,?,(Learn)
1.067912,1.124784,?,(Learn)
-1.069313,-0.30308,?,(Learn)
1.05718,-0.826183,?,(Learn)
1.584542,-1.131641,?,(Learn)
-0.197003,-0.210021,?,(Learn)
0.572672,-1.380198,?,(Learn)
-0.095122,-1.134521,?,(Learn)
-0.058047,0.413858,?,(Learn)
0.188708,-2.070744,?,(Learn)
1.40189,-0.942519,?,(Learn)
0.212887,-0.517122,?,(Learn)
-0.133872,-0.600361,?,(Learn)
-0.05848,-0.796425,?,(Learn)
0.088445,0.24545,?,(Learn)
-0.109784,1.095134,?,(Learn)
-1.950399,0.493299,?,(Learn)
-0.923511,-0.272541,?,(Learn)
-1.001949,-1.36158,?,(Learn)
0.505954,1.149845,?,(Learn)
0.704485,-0.506157,?,(Learn)
0.221512,0.782259,?,(Learn)
-0.65064,-0.012187,?,(Learn)
1.302393,1.310601,?,(Learn)
-0.062413,-0.35135,?,(Learn)
1.609994,-0.22495,?,(Learn)
1.052191,-0.454868,?,(Learn)
-0.158316,-1.186743,?,(Learn)
-0.097692,0.141992,?,(Learn)
1.014581,0.031101,?,(Learn)
0.304419,0.50193,?,(Learn)
-1.262039,-0.23746,?,(Learn)
0.901017,-0.188932,?,(Learn)
1.08132,0.964095,?,(Learn)
2.007805,1.009965,?,(Learn)
-0.175099,-0.454153,?,(Learn)
-1.725894,1.982963,?,(Learn)
-0.562442,-0.428371,?,(Learn)
-0.392877,-0.932155,?,(Learn)
-1.165509,0.694973,?,(Learn)
-2.273155,-0.616251,?,(Learn)
0.435883,0.671489,?,(Learn)
0.838752,-0.128249,?,(Learn)
1.203711,0.935974,?,(Learn)
0.583971,0.712531,?,(Learn)
0.166182,1.896431,?,(Learn)
-0.510885,-0.064104,?,(Learn)
