# 
#
data4d_2.txt
Classification
Numerical,Numerical,Numerical,Numerical,Label,Target,Target,Target,Target,Target
Col.1,Col.2,Col.3,Col.4,Col.5,Target 1.0,Target 4.0,Target 2.0,Target 5.0,Target 3.0
-6.315382,6.344938,-4.943573,7.821684,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-8.920876,2.705258,-5.661533,7.425065,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-5.918269,5.697313,-8.798838,5.880333,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-5.997931,5.024181,-5.503245,5.874574,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-8.54999,6.287645,-7.370734,6.88787,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-2.181127,6.817798,-3.660453,4.829116,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-6.691725,6.914744,-7.860303,7.777256,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-6.901111,4.446428,-5.334408,7.285602,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-6.976536,5.311501,-4.680027,5.937413,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-8.277557,4.55625,-4.224723,6.003554,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-6.009754,8.607213,-4.673341,8.800538,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-5.466431,6.954273,-6.318552,2.670723,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-7.208416,7.467041,-7.541461,6.425088,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-9.738294,1.755108,-5.807407,5.902267,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-6.261086,6.558911,-5.983332,3.50853,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-8.782872,3.911942,-6.857138,5.701782,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-5.730334,6.400136,-4.666339,5.8019,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-2.158979,7.015841,-6.782699,5.57277,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-8.4792,2.792186,-6.119541,5.441103,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-6.563529,7.205039,-7.880192,7.441731,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-2.265339,7.721363,-6.387065,4.492263,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-7.892641,3.872439,-7.219776,6.677509,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-0.124684,8.106004,-8.219629,5.635964,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-6.319204,7.677358,-6.423454,5.02235,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-8.131325,3.10094,-6.272756,8.777225,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-5.348884,7.299212,-5.653099,5.591675,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-3.473817,5.985173,-5.407775,4.45289,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-5.602911,10.411899,-6.729068,8.07297,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-4.587155,6.908664,-3.579161,3.206127,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-7.116579,6.273481,-3.145373,5.955198,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-5.920383,2.550895,-5.49988,6.588067,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-7.740374,5.940656,-6.719847,5.792608,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-7.103251,5.700236,-7.719185,5.289653,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-6.657921,3.384456,-3.215568,4.064538,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-7.711727,3.242233,-4.275267,5.778782,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-8.151742,3.442773,-3.928538,8.60292,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-7.452667,7.347806,-5.048048,5.124664,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-5.704255,7.713771,-3.460502,6.663283,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-5.029537,7.343009,-6.550022,4.546778,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
-8.318416,6.820782,-7.608255,5.040615,1.0,1.0,0.0,0.0,0.0,0.0,(Learn)
