# 
#
data1.txt
Categorization
Numerical,Numerical,Label
x,y,Label
-6.315382,6.344938,?,(Learn)
-4.943573,7.821684,?,(Learn)
-8.920876,2.705258,?,(Learn)
-5.661533,7.425065,?,(Learn)
-5.918269,5.697313,?,(Learn)
-8.798838,5.880333,?,(Learn)
-5.997931,5.024181,?,(Learn)
-5.503245,5.874574,?,(Learn)
-8.54999,6.287645,?,(Learn)
-7.370734,6.88787,?,(Learn)
-2.181127,6.817798,?,(Learn)
-3.660453,4.829116,?,(Learn)
-6.691725,6.914744,?,(Learn)
-7.860303,7.777256,?,(Learn)
-6.901111,4.446428,?,(Learn)
-5.334408,7.285602,?,(Learn)
-6.976536,5.311501,?,(Learn)
-4.680027,5.937413,?,(Learn)
-8.277557,4.55625,?,(Learn)
-4.224723,6.003554,?,(Learn)
-6.009754,8.607213,?,(Learn)
-4.673341,8.800538,?,(Learn)
-5.466431,6.954273,?,(Learn)
-6.318552,2.670723,?,(Learn)
-7.208416,7.467041,?,(Learn)
-7.541461,6.425088,?,(Learn)
-9.738294,1.755108,?,(Learn)
-5.807407,5.902267,?,(Learn)
-6.261086,6.558911,?,(Learn)
-5.983332,3.50853,?,(Learn)
-8.782872,3.911942,?,(Learn)
-6.857138,5.701782,?,(Learn)
-5.730334,6.400136,?,(Learn)
-4.666339,5.8019,?,(Learn)
-2.158979,7.015841,?,(Learn)
-6.782699,5.57277,?,(Learn)
-8.4792,2.792186,?,(Learn)
-6.119541,5.441103,?,(Learn)
-6.563529,7.205039,?,(Learn)
-7.880192,7.441731,?,(Learn)
-2.265339,7.721363,?,(Learn)
-6.387065,4.492263,?,(Learn)
-7.892641,3.872439,?,(Learn)
-7.219776,6.677509,?,(Learn)
-0.124684,8.106004,?,(Learn)
-8.219629,5.635964,?,(Learn)
-6.319204,7.677358,?,(Learn)
-6.423454,5.02235,?,(Learn)
-8.131325,3.10094,?,(Learn)
-6.272756,8.777225,?,(Learn)
-5.348884,7.299212,?,(Learn)
-5.653099,5.591675,?,(Learn)
-3.473817,5.985173,?,(Learn)
-5.407775,4.45289,?,(Learn)
-5.602911,10.411899,?,(Learn)
-6.729068,8.07297,?,(Learn)
-4.587155,6.908664,?,(Learn)
-3.579161,3.206127,?,(Learn)
-7.116579,6.273481,?,(Learn)
-3.145373,5.955198,?,(Learn)
-5.920383,2.550895,?,(Learn)
-5.49988,6.588067,?,(Learn)
-7.740374,5.940656,?,(Learn)
-6.719847,5.792608,?,(Learn)
-7.103251,5.700236,?,(Learn)
-7.719185,5.289653,?,(Learn)
-6.657921,3.384456,?,(Learn)
-3.215568,4.064538,?,(Learn)
-7.711727,3.242233,?,(Learn)
-4.275267,5.778782,?,(Learn)
-8.151742,3.442773,?,(Learn)
-3.928538,8.60292,?,(Learn)
-7.452667,7.347806,?,(Learn)
-5.048048,5.124664,?,(Learn)
-5.704255,7.713771,?,(Learn)
-3.460502,6.663283,?,(Learn)
-5.029537,7.343009,?,(Learn)
-6.550022,4.546778,?,(Learn)
-8.318416,6.820782,?,(Learn)
-7.608255,5.040615,?,(Learn)
-5.574565,11.128433,?,(Learn)
-5.626943,4.919588,?,(Learn)
-6.88747,7.796447,?,(Learn)
-7.827164,7.223059,?,(Learn)
-9.518745,3.203921,?,(Learn)
-5.393186,5.267523,?,(Learn)
-4.490514,4.011763,?,(Learn)
-4.823802,7.520694,?,(Learn)
-7.190036,6.705134,?,(Learn)
-2.399843,8.984231,?,(Learn)
-7.755383,7.172078,?,(Learn)
-5.818548,7.356065,?,(Learn)
-3.502976,6.942877,?,(Learn)
-7.130783,4.03421,?,(Learn)
-4.306748,6.249439,?,(Learn)
-7.349321,4.544704,?,(Learn)
-10.011338,3.986633,?,(Learn)
-8.265909,4.298196,?,(Learn)
-4.767163,7.536841,?,(Learn)
-3.94031,8.777248,?,(Learn)
3.043789,6.633307,?,(Learn)
