x y
1.528244 2.710130
2.120208 4.661918
-2.807022 3.736396
-3.447223 0.280401
0.306181 0.054788
-1.244902 1.826197
-2.228210 1.762201
4.300809 -2.508276
-3.462955 3.570285
0.085374 1.742277
-5.528757 -0.001044
-0.742246 2.979141
0.735701 0.590622
1.532187 0.795621
-3.096869 0.340788
-0.485552 3.669302
-3.302320 -3.351874
-3.089769 -3.495181
0.189136 0.067558
-1.338767 -1.292194
-0.981088 2.531614
1.387836 2.816220
-0.553113 -2.594389
1.275170 1.999975
2.693324 2.892758
0.353708 -0.593868
-1.229906 5.100183
1.885898 -0.731121
-0.486978 -1.160526
0.686163 0.511828
1.345317 -2.545449
-0.200064 -1.218304
3.156762 -4.060799
1.610434 2.134188
0.428224 -1.726002
1.226521 -3.163153
-4.559773 2.687168
-3.142256 1.122113
-1.635962 0.887634
-1.467059 0.132607
-0.602982 1.436406
-2.112778 -0.511126
1.813307 1.419528
-1.329763 -5.553984
2.425374 3.091574
-1.933180 -0.119315
0.579431 -3.274025
-1.417772 1.174562
-1.618793 -1.612059
-2.510326 -2.485663
-2.368585 0.985546
-0.923703 -1.153819
2.518845 -3.406605
1.743761 4.476661
-0.704474 -0.212869
-5.361047 0.522407
1.444946 -1.611869
3.609087 -3.733709
1.490834 0.760150
-0.369905 -2.394773
4.763473 0.926006
1.010412 -2.845677
1.590747 1.816481
-1.248569 -1.872777
1.886615 0.020558
-4.437973 1.017073
-0.434882 0.520055
-3.430263 0.935021
-2.086404 3.957577
0.937546 1.926682
2.366956 -1.407217
-3.671949 -3.236210
0.177902 -2.468856
-3.000362 -0.027776
2.993277 -1.178894
-2.169369 3.206621
1.425449 0.702049
-1.956234 1.744783
3.901644 -3.853730
0.898478 2.614391
1.403684 1.135131
-2.034923 4.269773
-0.653912 -0.453653
1.058945 -0.025184
5.279228 -0.040743
1.072106 2.690993
-1.930650 -0.691229
-0.045855 -0.721529
-0.662021 0.306326
2.938060 1.613113
-1.993688 -0.742621
-0.239971 -2.285397
-2.067672 -3.053080
1.705199 -0.745784
0.817773 -4.343303
0.262258 0.074917
0.120100 1.396175
-0.724869 3.628868
1.080575 -0.122982
-0.065097 1.206913
3.177670 2.549837
3.958159 2.134579
2.043462 6.403303
2.007599 0.644333
3.150094 1.443499
-0.782758 3.599869
5.468327 2.804155
3.987206 0.002892
0.448273 1.526570
0.421854 3.341044
5.117989 2.621568
2.711643 -2.198753
-0.344751 3.068984
2.978191 4.442860
4.350953 0.364405
4.080061 3.171273
-0.172425 2.215572
4.731016 -1.098967
2.634613 4.887576
-0.465844 2.642927
7.378606 9.085711
3.677308 6.601592
3.466040 3.389200
1.382696 4.887166
0.823483 1.725720
0.715044 5.532775
4.457419 3.095955
4.252595 2.583707
-0.497883 -0.632288
4.052173 5.143212
0.301407 4.101509
1.550955 2.825777
0.523591 3.016113
2.191214 3.209593
2.153004 7.129193
6.055085 4.767617
2.827083 4.675292
3.990788 -0.074602
5.485925 3.554634
3.723058 4.499148
-0.769664 4.423048
1.872549 3.580525
4.340883 0.321881
2.367031 6.875759
5.009025 4.402109
2.634060 3.490407
-1.249699 3.603593
0.910836 3.509749
1.219591 6.327343
5.711992 -0.110891
2.967264 0.852262
5.489496 1.447917
6.061899 0.998817
3.758162 2.983297
0.589573 1.401028
0.788827 3.829639
1.097904 0.167443
3.078908 2.362046
3.050250 3.480874
3.685513 1.615249
2.303990 0.715319
2.759488 2.540822
2.946604 5.074844
2.291576 6.371385
5.007268 3.106551
1.793713 3.118297
1.406522 -0.160980
2.343173 2.972993
4.876672 1.060978
0.220349 4.702781
6.327122 8.647263
3.222202 5.285290
2.421000 2.800132
3.178400 3.045834
-0.948604 1.118994
1.799668 1.512428
4.255542 2.629061
4.281206 2.473938
3.321489 5.035732
5.288655 3.649086
4.417085 3.429758
4.799706 2.168851
1.900593 3.622714
2.214453 6.453640
0.376198 4.608772
3.749292 4.144508
3.018876 3.881917
5.965632 3.968877
2.280151 5.546992
1.460272 1.068116
3.174906 5.702441
2.606165 1.508896
4.611192 1.322246
5.459646 6.983227
5.709494 2.584110
0.789321 1.628242
7.679411 4.118317
2.257612 2.664514
-1.302078 3.050235
2.287039 0.850789
-4.242581 5.033647
-1.791791 5.550427
-3.891337 3.374734
-1.787757 2.107249
-4.626321 5.013402
-2.505919 2.898803
-6.426949 4.459255
-0.341251 3.135643
-4.839176 1.615829
-4.984135 4.072983
-4.932569 2.611037
-2.225080 2.216424
-2.196916 2.751518
-3.823361 4.741757
-0.283626 2.153783
-3.684060 4.104555
2.276228 1.937957
-5.577073 0.140220
-4.773485 3.706237
-5.853592 0.973154
-0.420145 2.388618
-4.589942 4.380062
-4.201713 2.424304
-1.362879 2.457367
-3.970152 3.797580
-2.010901 1.727131
-0.958828 1.863107
-1.150482 0.331001
-1.601994 4.063744
-2.676761 2.581785
-4.842021 4.305065
-2.290097 1.058970
1.326477 1.603766
-3.765380 2.316970
-2.052874 2.542624
-3.476108 2.482531
-2.305187 0.941568
-1.939435 5.857920
-0.857371 2.578576
-0.604384 4.272413
0.470025 3.359976
-4.190096 2.993672
-2.372758 3.418294
-4.823582 4.410433
-6.212965 6.031088
-4.865811 3.401439
-1.169444 1.434716
-1.760407 5.115592
-2.117254 4.359967
-1.549086 1.984555
-2.620984 2.877311
-2.112992 6.512104
-6.315329 5.880547
-3.767112 0.318234
-1.004032 1.961103
-2.526476 0.048053
-3.382910 2.580745
-3.044118 2.014959
-3.457287 1.287580
-3.165348 3.961826
-5.428449 3.406707
-2.635103 2.526352
-5.661796 2.441540
-0.507595 2.956252
-0.118063 1.307681
-4.766800 4.036881
-0.884590 3.589334
-2.219512 3.484437
-2.633518 1.944812
-4.294374 2.778720
-3.511645 3.948966
-3.824264 0.395598
-2.364182 5.020178
-4.474544 4.542761
-1.077654 2.756984
-4.449334 6.406790
-4.878506 2.877473
-2.527055 4.600089
-1.229562 3.900971
-1.734297 7.521962
-5.673994 0.576366
-3.249269 1.935361
-4.376817 -0.214460
-5.774780 3.940609
1.116374 0.614325
-3.230824 1.661718
-1.617251 1.327766
-1.602118 3.239356
-1.001385 1.061929
-3.467641 4.721313
-0.103161 1.920393
-0.723644 0.539792
0.850858 1.217494
-0.600459 1.189229
0.766802 0.204151
-5.498175 -2.980817
-4.758613 3.023961
-3.628758 4.754637
-1.631477 0.021515
-0.646692 -1.664557
-4.538946 -4.589303
-2.324332 -3.451390
-4.500942 -3.877217
-4.794416 -2.188493
-2.338553 -1.752480
-2.570920 -3.502385
1.075446 -4.900999
-6.411127 -3.303308
-5.371480 -3.753603
0.213765 -1.719139
-5.452980 -2.755706
-6.274743 -2.937166
-3.870782 -5.668444
-3.639369 -2.541378
-5.136282 -3.771925
-1.955255 -3.020334
-6.430228 -1.702233
1.222014 -3.541548
-3.168612 -2.151051
-1.572460 -2.682321
-6.391562 -2.767869
-6.268486 -4.106022
-5.327211 -2.901255
-0.942571 -2.736389
-2.881110 -0.857484
-5.654368 -2.958097
-5.728053 -4.897016
-0.119851 -3.446303
-2.672041 -2.862839
-3.474283 -4.506511
-4.331090 -5.056318
-3.915649 -3.589589
-0.949183 -2.339165
-3.740444 -2.859628
-4.477808 -4.589764
-4.940635 -2.237572
